Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
ARRENDAMIENTOS PUERTA ELVIRA SL	67	Arrendamientos Puerta Elvira	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
LAZORA II SA	67	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
PROYECTOS Y OBRAS MARBELLA SL	67	Productos España SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Andalucia	Sociedad Privada
ASMAPA SA	69	Asmapa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
URO PROPERTY HOLDINGS, S.L.	69	Banco Santander	España	España	Socimi	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
CAJASUR BANCO SA	69	Kutxabank	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
RAFAEL LOPEZ SANCHEZ CONSTRUCTORA SL	69	Rafael López Sánchez Constructora SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
GRUPO BERKLEY TRES SL	69	REI Spain Ribarroja BV	Países Bajos	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
GESTION DE INMUEBLES ADQUIRIDOS SL	69	Unicaja	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
CASTELLANA PROPERTIES SOCIMI, S.A.	83	Vukile Property Fund Limited	Sudáfrica	España	Socimi	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
HERMANOS MORENO TORRES HERRERA CB	70	Hermanos Moreno Torres Herrera CB	España	España	Comunidad de bienes	NA	Otros	Comunidad de bienes	Andalucia	Sociedad Privada
PROMOCIONES ZUYDI SL	70	Promociones Zuydi SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
MOSACATA SL	70	Unicaja	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
AYUNTAMIENTO DE LOS BARRIOS	71	Ayuntamiento de Los Barrios	España	España	Ayuntamiento	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
ADIF ALTA VELOCIDAD	71	Adif	España	España	Empresa pública	Administración central	Otros	Infraestructuras aeroportuarias	Andalucia	Sociedad Pública
HOGALIA PROYECTOS E INVERSIONES SL	71	Hogalia Proyectos Inmobiliarios	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
CIMENTADOS3 SA	73	Banco de Crédito Social Cooperativo	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
GESTIONES HOSPEDALIA, S.L.	73	Gestiones Hospedalia	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
INMOBILIARIA VITRUBIO SA	73	Inmobiliaria Vitrubio SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
INGKA CENTRES JEREZ, S.L.	73	Inter IKEA Holding B.V.	Países Bajos	Dinamarca	Empresa privada	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
RIBERA CITY GROUP SL	73	Ribera City Group SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
INMOBILIARIA PUERTA ELVIRA SL	74	Inmobiliaria Puerta Elvira SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
GAVARI PROPERTIES SOCIMI SA	75	Gavari Properties Socimi SA	España	España	Socimi	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
SOCIEDAD DE DESARRROLLO DE MONTELLANO SL	76	Ayuntamiento de Montellano	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
INVERSIONES INMOBILIARIAS CANVIVES SA	77	Blackstone	Estados Unidos	Luxemburgo	Empresa privada	NA	Entidades financieras	Fondos de inversión	Andalucia	Sociedad Privada
GLOBAL PHOBOS, S.L.U.	77	Global Armorica	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
UTE ZARAPICO 3 SL Y MYM RENTA SL LEY 18/1982 DE 26 DE MAYO	77	Ute Zarapico 3 SL y Mym Renta SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
EMDARO AROCHE S.L.U.	78	Ayuntamiento de Aroche	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
GUTIERREZ PEREZ HERMANOS CB	78	Gutiérrez Pérez Hermanos CB	España	España	Comunidad de bienes	NA	Otros	Comunidad de bienes	Andalucia	Sociedad Privada
IMASINTER VIVIENDA JOVEN SL	181	Imasinter Vivienda Joven	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
NESTAR RESIDENCIAL S.I.I, S.A	79	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
RESTAURACION Y ENTRETENIMIENTO DEL MEDITERRANEO S.L.U.	79	Restauración y Entretenimiento del Mediterráneo SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
ESTATE BUILDING GROUP SL	80	Estate Building Group SL	España	España	Empresa privada	NA	Otros	Hostelería	Andalucia	Sociedad Privada
SURALMUDI SL	80	Ofi-Renta Sur 2008 SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Andalucia	Sociedad Privada
POYATOS SL	80	Poyatos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
CAIXABANK, S.A.	81	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
SOLPRIGA, SL	81	Solpriga SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
EL RECREO DE ALFACAR SA	82	El recreo de Alfacar SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
BEYOS Y PONGA SA	82	Unicaja	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
GUALDERA SL	83	Holcusan SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
MOSOL,S.L.	83	Mosol SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
CARREFOUR PROPERTY ESPAÑA S.L.U.	70	Carrefour	Francia	Francia	Empresa privada	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
AUDITARIA ANALISIS DE INVERSION SL	84	Auditaria Análisis de Inverisón SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
INMOBILIARIA SOLENCO SL	84	Inmobiliaria Solenco	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
HIJOS DE VAZQUEZ LOPEZ Y CIA SL	85	Hijos de Vázquez López y Cia. SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
CRITERIA CAIXA S.A.U.	441	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
HERMANOS CALATAYUD MEDINA CB	86	Hermanos Calatayud Medina CB	España	España	Comunidad de bienes	NA	Otros	Comunidad de bienes	Andalucia	Sociedad Privada
OBRATUNALIA SL	88	Obratunalia SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
ARRENDAMENT IMMOBILIARI ASSEQUIBLE SL	89	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
CAMESA INMUEBLES SL	89	Camesa Inmuebles SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
FRUTAS EL CIPRI, SL	89	Frutas El Cipri SL	España	España	Empresa privada	NA	Otros	Alimentación	Andalucia	Sociedad Privada
AYUNTAMIENTO DE ROTA	90	Ayuntamiento de Rota	España	España	Ayuntamiento	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
URBANIZADORA TARIFEÑA, SA	90	Ayuntamiento de Tarifa	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
DOC MALAGA SITECO, S.L.U.	90	Lyvea Global SL	España	España	Empresa privada	NA	Consultoría y abogacía	NA	Andalucia	Sociedad Privada
