Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
INVERSIONES PEDROÑA, S.L.	121	Inversiones Pedroña	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INVERSIONES Y PATRIMONIO CASTELLANA, S.L.	54	Inversiones y Patrimonio Castellana SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INVERSIONES Y PROMOCIONES GILARRANZ, S.L.	77	Inversiones y Promociones Gilarranz SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
IRIS TRADOR S.L.	56	Iris Trador SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
IRLASA, S.A.	51	Irlasa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ISAAC GONZALEZ, S.A	69	Isaac González SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ISLA DE OZA, S.L.	88	Isla de Oza SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ISLAZUL CENTRO COMERCIAL, SL.	190	SHCO 99 SA	España	España	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
JURISA INVESTMENTS, S.L.	402	Ares Management Corporation	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
KELBE, S.L.	252	Kelbe SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
KLEPIERRE PLENILUNIO SOCIMI S.A.	216	Klepierre	Francia	España	Socimi	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
KLEPIERRE REAL ESTATE ESPAÑA, S.L.	68	Klepierre	Francia	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
KLEPIERRE VALLECAS, S.A.	209	Klepierre	Francia	España	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
KRONE IBERICA, S,A,	54	Krone Ibérica SA	España	España	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
LA FINCA GLOBAL ASSETS, S.A.	130	La Finca Global Assers Socimi	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LA SOCIEDAD GENERAL INMOBILIARIA DE ESPAÑA,	703	Groupe Générale Immobilière	Francia	Luxemburgo	Soparfi	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
LAMBEO INVESTMENTS II, S.L.U.	106	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
LARCOVI S.A.L	110	Larcovi SAL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LARES IBERICOS S.L	53	Lares Ibéricos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LARVIN, S.A.	64	Larvin SA	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
LAS TEJONERAS, S.L.	104	Las Tejoneras	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LAZORA, S.A. S.I.I.	4640	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LERCOPRA, S.L.	54	Lercopra SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LEVANTINA DE EXPLOTACIONES RESIDENCIALES,	63	Levantina de Explotaciones Residenciales	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LIQUID INVESTMENTS SL	95	Dispomed BV	Países Bajos	Países Bajos	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
LIVINGCENTER ACTIVOS INMOBILIARIOS, S.A.	902	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
LLOGATALIA S.L.	88	Llogatalia SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LOCALES BRISTOL S.L.	79	Locales Bristol SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LORENFE, S.L.	159	Lorenfe SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LSGI DE LA MORALEJA 2 S.L.	55	Groupe Générale Immobilière	Francia	Luxemburgo	Soparfi	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
LUENMAR, S.L.	62	Luenmar SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
LUJAN Y JARRIN, S.L.	60	Lujan y Jarrin SL	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
LURI 6, S.A.	445	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
MADRID XANADÚ 2003, S.L.	248	Intu Properties	Reino Unido	Luxemburgo	Soparfi	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
MADRIMOR, S.L.	85	Madrimor SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MAISANCO, SL	103	Maisanco SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MALGASA PROMOTORES, S.L.	126	Malgasa Promotores SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MANZANARES, S.A.	103	Manzanares SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MAORI EUROPEAN HOLDING, S. L.	104	Maori European Holding	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MAPFRE ESPAÑA CÑÍA. DE SEGUROS Y REASEGUROS, S.A.	55	Mapfre	España	España	Empresa privada	NA	Seguros	NA	Madrid	Sociedad Privada
MAPFRE VIDA, S.A.	115	Mapfre	España	España	Empresa privada	NA	Seguros	NA	Madrid	Sociedad Privada
MATRITENSE REAL ESTATE SA	88	Matritense Real Estate Socimi SA	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MENLOGICA, S.L.	86	Menlogica SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MERCADO DE LA CONSTITUCION, S.A. (MERCONSA)	79	Mercado de la Constitución SA	España	España	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
MERCAMADRID, S.A.	103	Ayuntamiento de Madrid	España	España	Empresas públicas o administraciones	Ayuntamiento	Centros comerciales y mercados	NA	Madrid	Sociedad Pública
MERLIN PROPERTIES SOCIMI, S.A.	455	Merlin Properties Socimi SA	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MERLIN RETAIL SL	91	Merlin Properties Socimi SA	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MIMBRERAS 3, S.A.	51	Mimbreras 3 SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MOSACATA, S.L.	379	Unicaja	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
MOSUPE, S.L.	67	Mosupe SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
MUCOR, S.L.	266	Gm Cordeu Holding SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
MUFLINA INVESTMENTS, S.L.U.	305	Ares Management Corporation	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
MUTUA MADRILEÑA AUTOMOVILISTA	158	Grupo Mutua Madrileña	España	España	Empresa privada	NA	Seguros	NA	Madrid	Sociedad Privada
NAET, S.L.	169	Naet SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
NAIBOC, S.L.	105	Naiboc SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
NEGOCIOS BRIMARO S.L.	320	Negocios Brimaro SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
NEGOCIOS INMOBILIARIOS PENINSULARES, S.L.	266	Negocios Inmobiliarios Peninsulares SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
NEINOR SARDES RENTAL SL	153	Lone Star	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
NEPTUNE GETAFE PROPCO S.L.	86	Neinver S.A	España	Luxemburgo	Soparfi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
NEPTUNE NASSICA PROPCO S.L.U.	64	Neinver S.A	España	Luxemburgo	Soparfi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
NEPTUNE SAN SEBASTIAN OUTLET, S.L.U.	109	Neinver S.A	España	Luxemburgo	Soparfi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
NESCAM 2006 SL	67	Renta Corporación	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
NUCIVA INVESTMENTS, S.L.U.	57	Ares Management Corporation	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
NUEVA URBANIZADORA RESIDENCIAL SA.	72	Grupo Inmobiliario Gomendio SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
O'DONNELL INVERSIONES, S.L.	132	O'Donell Inversiones	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
OBRAS DE MADRID. GESTION DE OBRAS E INFRAESTRUCTURAS, S.A.	104	Comunidad de Madrid	España	España	Empresas públicas o administraciones	Comunidad autónoma	Otros	Obras públicas	Madrid	Sociedad Pública
OBRAS Y VIAS,S.A.	312	Obras y Vías SA	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
OCENDA, S.L.	155	Ocenda SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ORDEN HOSPITALARIA DE SAN JUAN DE DIOS	328	Orden Hospitalaria de San Juan de Dios	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Madrid	Sociedad Privada
ORONIS INVERSIONES, S.L.	208	Oronis Inversiones 	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
OTAYA GESTIÓN, S.L.	119	Otaya Gestión	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PALACIO DE LOS RECREOS, S.A.	76	Palacio de los Recreos SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PARENTA S.L.	57	Parenta SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PARQUE COMERCIAL GUADALHORCE, S.L.	113	Kennedy Wilson	Estados Unidos	Luxemburgo	Soparfi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PASEO COMERCIAL CARLOS III, S.A.	126	Paseo Comercial Carlos III SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PATRIMONIO MUNICIPAL MAJADAHONDA,SA	271	Ayuntamiento de Majadahonda	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
PATRIMONIO NACIONAL	123	Patrimonio Nacional	España	España	Empresas públicas o administraciones	Administración central	Otros	Patrimonio	Madrid	Sociedad Pública
PEREL, S.L.	120	Perel SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PERLADO PEREZ DE VALLUERCA HNOS, C.B.	89	Perlado Pérez de Valluerca Hnos C.B.	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
PINARCAM VIVIENDA JOVEN SOCIMI, S.L.U.	67	Ares Management Corporation	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
PLAZA DE CHAMBERÍ, 9 CB	57	Plaza de Chamberí 9 CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
PLURA, S.A.	105	Hermandades del Trabajo Centro de Madrid	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Madrid	Sociedad Privada
PONCA INVESTMENTS, 2015 S.L.U.	95	Inversions 3 Valclau SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PONTEGADEA ESPAÑA, S,L.	146	Pontegadea Inversiones	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PORTOCARRIO VIVIENDAS S.L.	147	Portocarrio Viviendas SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PRINCIPE PIO GESTIÓN, S.A.	127	Klepierre	Francia	España	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
PROCU S.L.	83	Procu SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROFIL SOCIEDAD COOPERATIVA	96	Profil Sociedad Cooperativa	España	España	Cooperativa	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROINTEL, S.L.	62	Prointel Inversiones SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROIPI, S.L.	55	Proipi SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROLAVIMA S.L	51	Prolavima SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROMOCION VIVIENDAS ARRENDAMIENTO Y VENTA,	78	Proviarve	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROMOCIONES ALGARA GOMEZ S.L.	79	Promociones Algara Gómez SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROMOCIONES INMOBILIARIAS CALERO, S.A.	325	Promociones Inmobiliarias Calero SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROMOCIONES INMOBILIARIAS SAYPA S.A.	59	Promociones Inmobiliarias Saypa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROMOCIONES LLADERO, S.A.	506	Goldman Sachs	Estados Unidos	Delaware	Empresa privada	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
PROMOCIONES NIMER, S.A.	51	Promociones Nimer SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROMOCIONES RADENTE, S.L.	398	Promociones Radente SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROMOCIONES Y CONSTRUCCIONES PYC, PRYCONSA, S.A.	115	Promociones y Construcciones Pyc, Pryconsa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROMOCIONES.E INVERSIONES CAMPO REAL, S.A.	64	Promociones e Inversiones Campo Real SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROMONTORIA COLISEUM REAL ESTATE, S.L.	665	Cerberus	Estados Unidos	Países Bajos 	Empresa privada	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
PROMONTORIA COLISEUM RESIDENTIAL, S.L.U.	317	Cerberus	Estados Unidos	Países Bajos 	Empresa privada	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
PROMONTORIA MACC RE SOCIMI, S.A. 	284	Cerberus	Estados Unidos	Irlanda	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
PROPERTY LEASES FTS MADRID, S.L.	471	Property Leases FTS Madrid	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PROREYMON, S.L.	59	Proreymon SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PRYGECAM MÓSTOLES VIVIENDA JOVEN S.L.	85	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
PURIMAR, S.A.	67	Purimar SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
PURISIMA CONCEPCION MUTUALIDAD DE PREVISIÓN SOCIAL A PRIMA FIJA	53	Purísima Seguros	España	España	Empresa privada	NA	Seguros	NA	Madrid	Sociedad Privada
QUID PRO QUO ALQUILER SEGURO SOCIMI, S.A.	126	Explotación de Negocios y actividades comerciales SL	España	España	Socimi	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
REAL E ILUSTRE CONGREGACION DEL SANTÍSIMO SACRAMENTO Y SANTO ENTIERRO	84	Sanen Mutua	España	España	Empresa privada	NA	Seguros	NA	Madrid	Sociedad Privada
REALIA	142	FCC	España	España	Empresa privada	NA	Otros	Obras públicas	Madrid	Sociedad Privada
REGATO, S. L.,	59	Regato SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
RENFE VIAJEROS, S.A.	113	Renfe	España	España	Empresas públicas o administraciones	Administración central	Otros	Infraestructuras ferroviarias	Madrid	Sociedad Pública
RENTA GESTION AUXILIAR 2009, A. I. E.,	265	Renta Gestión Auxiliar 2009	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
RENTA Y SERVICIOS C.B.	60	Renta y Servicios C.B.	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
RENTUR, RENTA URBANA S.L.	364	Rentur Patrimonial	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
REYAL URBIS, S.A.	172	Reyal Urbis	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
RHINO REAL ESTATE S.L	120	Rhino Real Estate	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
RIV CORREDOR 1, S.L.	89	Afiens Legal SLP	España	España	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
RIVERSIDE APARTMENTS 2018, S.L.	94	Riverside Investments 2018 SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
RUCABADO, ESPACIOS EN MADRID S.L.	53	Rucabado, Espacios en Madrid SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
RUTHERFORD ESPAÑOLA, S.A.	61	Rutherford Española SA	España	España	Empresa privada	NA	Construcción	Construcción de piscinas	Madrid	Sociedad Privada
S.A. (AYTRE SA)	66	Arquitectura y Técnicas de Restauración SA	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
SABA APARCAMIENTOS, S.A.	59	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
SABADELL PATRIMONIO INMOBILIARIO, S.A.U.	118	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
SADEPRO PROYECTOS, S.L.	70	Sadepro Proyectos SL	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
SAINT CROIX HOLDING IMMOBILIER SOCIMI, S.A.	194	Saint Croix	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
SAKAY SPORT, S.A.	52	Sakay Sport SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
SANMAICO INVERSIONES, S.L.	70	Sanmaico Inversiones SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
SANZALUR, S.L.	58	Sanzalur SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
SATURNINO MORALES SOLER Y HERMANOS MORALES VALERO, C.B.	94	Saturnino Morales Soler y Hermanos Morales Valero CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
SEAN ALTAVIRA, S.L.	97	Sean Altavira SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
SERRANO 61 DESARROLLO SOCIMI S.A.	54	Banca March	España	España	Socimi	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
SIJO HERAC, S.A.	82	Sijo Herac SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
SOCIEDAD CONCESIONARIA R.U. VICALVARO S.L.	209	Sociedad Concesionaria R.U. Vicálvaro	España	España	Empresa privada	NA	Inmobiliaria	Residencias universitarias	Madrid	Sociedad Privada
SOCIEDAD GESTION ACTIVOS PROCEDENTES REESTRUCTURACION BANCARIA. SAREB	1132	Sareb	España	España	Empresas públicas o administraciones	Administración central	Entidades financieras	Sociedad de gestión de activos	Madrid	Sociedad Pública
SOCIEDAD INMOBILIARIA LAS BALLINAS, S.L.	64	Sociedad Inmobiliaria Las Balleas SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
SOFILA INVESTMENTS 2018, S.L.U.	63	Blackstone	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
SOLPRIGA, S.L	55	Solpriga SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
SUITE ROOM MADRID, S.L.	51	Suite Room Madrid SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
TAINSA ADMINISTRACIONES, S.L.	78	Tainsa Administraciones SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
TAURO REAL ESTATE, S.L.	333	Tauro Real Estate SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
TECTUM REI MOSTOLES, S.L.	130	Hestia Mostoles SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
TEIDE ACQUISITIONS S.L.	75	Goldman Sachs	Estados Unidos	Reino Unido	Empresa privada	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
TEIXIDOR, C.B.	75	Teixidor CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
TELEFONICA, S.A.(S.G.Patrimonio y distrito C)	154	Telefónica	España	España	Empresa privada	NA	Otros	Telecomunicaciones	Madrid	Sociedad Privada
TEMPORE PROPERTIES SOCIMI, S.A.	835	TPG	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
TERRENOS , INDUSTRIAS Y ALMACENES S.A	359	Terrenos, industrias y almacenes SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
"TERRENOS Y NAVES, S.A. "" TENASA"""	71	Grupo Arenas	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
TESORERIA GENERAL SEGURIDAD SOCIAL	82	Tesorería General Seguridad Social	España	España	Empresas públicas o administraciones	Administración central	Otros	Seguridad Social	Madrid	Sociedad Pública
TESTA RESIDENCIAL SOCIMI, S.A.	5821	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
TITOMON INVEST, S.L.	55	Titomon Invest SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
TORRE ESPACIO CASTELLANA, S.A.U.	50	Megaworld Corporation	Filipinas	Singapur	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
TORRE RIOJA-MADRID, S.A.	85	Torre Rioja-Madrid Socimi	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
TRAFALGAR REAL ESTATE, S.L.	76	Anmavi Asset Management SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
TRAJANO IBERIA SOCIMI, S.A.	84	Ocorian Corporate Trustees (Jersey) Limited	Jersey	Reino Unido	Socimi	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
TREE INVERSIONES INMOBILIARIAS,SOCIMI S.A.U.	154	BBVA	España	España	Socimi	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
U.T.E. VIVIENDAS MÓSTOLES SUR	97	Grupo Aldesa	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
UNIBAIL-RODAMCO RETAIL SPAIN S.L.	405	Unibail-Rodamco-Westfiel SE	Francia	Francia	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
UNICAJA BANCO, S.A.U	135	Unicaja	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
UNION DE CREDITOS INMOBILIARIOS, S.A.	128	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
URBANIZADORA CONSTRUCTORA LEVANTINA, S.A.	291	Urcolesa	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
URO PROPERTY HOLDINGS SOCIMI, S.A.	217	Banco Santander	España	España	Socimi	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
URTINSA,S.A.	100	Urtinsa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VALAISE, S.L.U.	88	FCC	España	España	Empresa privada	NA	Otros	Obras públicas	Madrid	Sociedad Privada
VALDEMARCOS EUROPEA, S.L.	52	Valdemarcos Europea SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VALDEPALITOS, S.L.	60	Valdepalitos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VALUE RETAIL MADRID S.L.	102	Hammerson	Reino Unido	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
VBARE IBERIAN PROPERTIES SOCIMI, S.A.	349	Value Base LTD	Israel	Israel	Socimi	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
VERGARA 12, S.L.	80	Vergara 12 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VERONA, S.L.	100	Verona SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VESA SOLUCIONES INMOBILIARIAS, S.L.	97	La Vivienda Económica SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VIAL 510, S.L.	55	Vial 510 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VICOFER INVERSIONES, S.L.	70	Vicofer Inversiones SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VIRIAMARCA S.L.	98	Viriamarca SL	España	España	Empresa privada	NA	Inmobiliaria	Cine	Madrid	Sociedad Privada
VITRUVIO REAL ESTATE SOCIMI, S.A.	214	Vitruvio Real Estate Socimi	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VIVENIO BETA, S.L.U.	634	Renta Corporación	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VIVENIO RESIDENCIAL SOCIMI, S.A.	2215	Renta Corporación	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VIVIENDAS Y DERIVADOS 2001, S.L.	62	Viviendas y Derivados 2001 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
VIZADI S.A.	57	Anmavi Asset Management SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
